"fire","maxTemp","minTemp","precipitation","wind","relativeHuditiy","solar","ndvi"
"No",-22.02744444,-25.87055556,0.001525878,2.692795375,0.765739901,3.27637482,-0.45629999
"No",-22.42388889,-26.24455556,0,2.526926453,0.759543986,2.85548199,-0.386000007
"No",-21.59444444,-26.01911111,0.010681149,2.794691958,0.766536778,3.27454488,0.278299987
"No",-21.51188889,-25.878,0,2.952764309,0.762353517,2.85223712,-0.347200006
"No",-16.038,-22.33833333,1.0963441,2.533267964,0.819528026,1.70651876,-0.243799999
"No",-16.80477778,-22.06222222,1.533126877,2.389648605,0.808288979,1.41338738,-0.193299994
"No",-16.03222222,-21.23011111,1.389312777,2.314000159,0.820816586,1.79203742,0.263399988
"No",-16.74366667,-21.10888889,1.580428949,2.425006499,0.810808901,1.51647498,-0.327499986
"No",-17.87411111,-22.01766667,0.11253356,1.496935967,0.804833387,2.84860558,-0.340299994
"No",-19.39122222,-23.70377778,0.065994256,1.548651076,0.790420569,2.61318008,-0.127900004
"No",-18.67211111,-22.07533333,0.273513738,1.562791955,0.801692441,2.90329312,-0.083300002
"No",-20.16955556,-23.60588889,0.123214733,1.503674871,0.7845874,2.68834986,-0.069399998
"No",-17.572,-20.60566667,1.360702436,1.068805377,0.811888116,2.28424914,-0.224900007
"No",-18.19088889,-21.59644444,1.575469436,0.993402029,0.809441736,2.07410011,-0.156499997
"No",-18.14266667,-21.43866667,1.192474038,1.216869672,0.807222059,2.52908743,0.0166
"No",-19.76388889,-23.29377778,1.267623837,1.106257939,0.794649644,2.38186864,0.0933
"No",-19.41288889,-22.11788889,0.287628235,1.866692931,0.802174805,2.540430672,0.347000003
"No",-20.41533333,-23.516,0.327491806,1.985569495,0.796946495,2.293575518,-0.477899998
"No",-19.83588889,-23.26566667,0.218582164,1.769827424,0.796836257,2.611866956,-0.314500004
"No",-21.88711111,-25.40333333,0.173950193,1.730841563,0.782684883,2.462093252,0.404799998
"No",-21.93155556,-25.632,0.117492732,2.142438643,0.777014341,3.05618106,0.497999996
"No",-22.57366667,-25.91966667,0.091171318,1.987839861,0.770909387,2.811413,-0.282700002
"No",-22.347,-26.12966667,0.060272252,1.714393239,0.773056353,3.23096248,0.0136
"No",-23.43911111,-26.95577778,0.0152588,1.60982526,0.760553405,2.95725156,0.279700011
"No",-19.64577778,-26.09233333,0,2.997920178,0.784586593,3.36863727,0.354299992
"No",-19.053,-25.34666667,0.001144409,3.608062184,0.780953116,2.91634365,0.321999997
"No",-19.05055556,-25.95355556,0,3.152518363,0.788122472,3.345449698,-0.0076
"No",-18.39544444,-25.00722222,0.00038147,4.211093721,0.787396703,2.872495082,-0.192599997
"No",-15.91733333,-20.66077778,0.091934244,3.709172181,0.822881112,3.09576297,-0.303000003
"No",-16.26144444,-19.59244444,0.151824944,3.433151497,0.826621406,2.6403428,-0.377600014
"No",-15.50677778,-20.31888889,0.120925922,3.464138206,0.82962162,3.04274447,0.416700006
"No",-15.26,-19.38466667,0.174331641,3.703635281,0.834051471,2.65527962,-0.235400006
"No",-6.165222222,-16.10022222,0.55446626,3.193815119,0.931761938,1.92123108,-0.263300002
"No",-6.553333333,-16.13644444,0.74672708,3.362052592,0.922542193,1.62456872,-2e-04
"No",-5.927888889,-15.56544444,0.742721738,2.912379283,0.941006243,1.73899384,-0.172099993
"No",-5.726,-14.91022222,0.848960848,3.682132464,0.928846947,1.62138106,-0.235400006
"No",-11.93466667,-14.17822222,1.304626296,1.530828522,0.898783339,1.9557247,-0.3759
"No",-13.12922222,-15.37277778,1.030349536,1.417543771,0.879519578,1.72904998,0.064599998
"No",-11.51911111,-13.93144444,1.121330168,1.531391166,0.903281937,2.10554312,0.036899999
"No",-13.05288889,-15.79055556,1.01280194,1.402755144,0.874868627,1.93977456,-0.273099989
"No",-2.345888889,-12.72333333,1.563072384,3.515680011,0.947785296,1.414568748,-0.089699998
"No",-4.113111111,-14.747,1.745414696,3.274176375,0.931806677,1.452475058,-0.1514
"No",-1.656555556,-12.41944444,1.526451024,3.475656568,0.955617404,1.136193842,0.127100006
"No",-2.703444444,-15.42555556,1.395034716,3.593932261,0.934679254,1.342862444,-0.094599999
"No",-1.627666667,-9.472333333,4.77981532,2.964193212,0.949922243,1.5794564,-0.127499998
"No",-2.835333333,-13.37622222,4.352951214,2.825009286,0.915808117,1.78887466,-0.1193
"No",-1.165888889,-8.864444444,4.71305936,3.010569549,0.951707266,1.20218757,-0.1039
"No",-2.244444444,-13.39488889,5.733109004,3.034112549,0.912820965,1.534256072,-0.208900005
"No",-8.541888889,-16.33588889,1.924134668,3.055052768,0.904482509,2.112606592,-0.299600005
"No",-10.265,-18.41244444,1.902580452,2.927397468,0.880953758,1.940668856,-0.152400002
"No",-7.976333333,-16.32933333,1.513290762,2.94050053,0.904138126,2.30471346,-0.187099993
"No",-10.028,-18.34677778,1.511955861,3.169077456,0.877912143,2.241161996,-0.089900002
"No",-11.49688889,-16.95611111,0.190353414,1.342221356,0.878274333,1.937712784,-0.323300004
"No",-13.20766667,-18.46822222,0.692939802,1.308632743,0.855453748,1.65248765,0
"No",-10.94022222,-16.64766667,0.153350829,1.212080041,0.885164822,2.43559245,-0.297199994
"No",-12.566,-18.38111111,0.615119965,1.293779699,0.865056686,1.81637497,-0.297199994
"No",-11.64066667,-12.40522222,6.307603628,3.103418796,0.909595342,1.217299904,-0.368000001
"No",-13.33188889,-14.15922222,3.956413852,3.156531604,0.886208085,1.584112484,-0.189199999
"No",-10.82611111,-11.452,6.346510944,3.335946463,0.920780608,1.322137512,0.0174
"No",-12.66477778,-13.47522222,4.983521708,3.49608913,0.895158499,1.345050064,0.0438
"No",-9.244444444,-12.75188889,8.156205892,2.56805263,0.911675876,1.82656868,-0.283699989
"No",-10.39344444,-14.02377778,7.068253628,2.453446682,0.901703457,1.20775018,-0.249200001
"No",-8.241777778,-12.13933333,6.266402164,2.674911411,0.921756114,1.97869366,-0.111299999
"No",-9.679333333,-13.42611111,7.690429332,2.679993175,0.908839281,1.22723126,-0.081100002
"No",-8.598222222,-11.04755556,0.406265344,2.118148452,0.933966334,2.71081906,-0.332100004
"No",-10.26355556,-13.41977778,0.352478068,2.118052436,0.920683397,2.556694242,-0.200399995
"No",-7.577333333,-10.51111111,0.437164384,2.125130738,0.941602563,2.743269136,-0.224099994
"No",-9.247333333,-12.27333333,0.432586736,2.389542137,0.928784289,2.43366885,-0.263300002
"No",-4.266555556,-10.02177778,0.80051406,3.331346137,0.957329536,2.16831226,-0.119400002
"No",-5.738111111,-11.12544444,0.955200128,3.009415879,0.951693366,1.70567504,-0.273400009
"No",-2.965444444,-8.819222222,0.9555818,3.222196615,0.964905638,1.69376886,-0.0592
"No",-4.808777778,-10.05311111,0.880050489,3.266167878,0.958423126,1.59218132,-0.171800002
"No",-2.600888889,-4.283111111,1.485633856,2.35371056,0.985201,1.02456258,-0.189700007
"No",-4.219111111,-6.283111111,1.308250056,1.678464208,0.98042573,1.23221253,-0.166800007
"No",-1.633,-3.804888889,1.526832652,1.971659795,0.987757325,1.09901235,0.0458
"No",-3.433111111,-5.623333333,1.343154868,1.635486403,0.982352245,1.41972487,-0.101199999
"No",-4.116888889,-6.910555556,1.352691776,1.916544165,0.968504863,1.96121224,-0.185100004
"No",-5.535,-8.352444444,1.3296132,2.284896874,0.961050803,1.9042872,-0.265500009
"No",-3.673333333,-6.595444444,1.312065468,2.110296095,0.966772294,2.05153194,-0.056600001
"No",-5.382333333,-8.378444444,1.104164672,2.412666233,0.956912702,1.95933168,-0.247899994
"No",-6.535444444,-7.406444444,1.59568792,3.594219099,0.944945203,2.087212232,-0.060800001
"No",-8.085777778,-8.888111111,1.231765348,3.362757391,0.940448453,2.002349768,-0.127599999
"No",-6.134333333,-7.207888889,1.58195488,3.589717519,0.943577889,2.069694176,-0.0429
"No",-7.876888889,-9.014666667,1.246261664,3.546333132,0.936109172,1.973794266,-0.118000001
"No",-6.518111111,-8.218222222,1.927566496,2.785035616,0.945185132,2.274137016,-0.0381
"No",-7.695666667,-9.515666667,1.144409396,2.417361203,0.939167865,2.12148054,-0.172199994
"No",-6.217333333,-7.731222222,1.846313576,2.874112166,0.945912182,2.349899436,-0.083499998
"No",-7.758666667,-9.545888889,1.30729708,2.647970504,0.934944754,2.233354692,-0.148599997
"No",-6.297444444,-7.834888889,1.235008132,3.129334517,0.950336134,2.084062348,-0.038400002
"No",-6.733111111,-8.993111111,0.859451264,2.368198611,0.949487118,2.110318636,-0.270599991
"No",-6.125777778,-8.079333333,1.101684676,3.110508362,0.948317757,2.150268972,-0.171100006
"No",-7.176666667,-9.674222222,0.788688856,2.447843996,0.942377642,2.259855964,-0.0274
"No",-8.109111111,-16.097,1.989555568,5.851127902,0.88540841,2.076012856,-0.219999999
"No",-9.432333333,-18.01188889,0.970077292,5.260576892,0.870386615,2.416188156,-0.0973
"No",-8.479111111,-16.22644444,1.319312896,5.457587966,0.880170719,2.318018336,0.018999999
"No",-10.11177778,-18.36722222,0.876617492,5.342483977,0.866618409,2.618668724,-0.1796
"No",-16.56644444,-21.52211111,0.150680555,3.789394731,0.790048039,4.92533066,-0.146300003
"No",-18.509,-22.86922222,0.131607071,3.766017429,0.773525128,4.56904496,-0.218999997
"No",-16.63377778,-21.34655556,0.120162963,3.417792609,0.792050366,4.91377538,0.343600005
"No",-18.81666667,-23.17433333,0.097656244,3.694363965,0.776155631,4.5725119,-0.151199996
"No",-17.868,-20.52333333,0.624084476,5.178977141,0.789871846,3.9932439,-0.214300007
"No",-18.39244444,-21.04755556,0.618743884,5.031532614,0.781101627,3.522530468,-0.192200005
"No",-17.45177778,-20.599,0.477981656,5.005203578,0.795120293,4.125519724,0.134399995
"No",-18.20933333,-20.96133333,0.580596952,5.297377243,0.787801822,3.52178732,-0.098700002
"No",-16.45433333,-21.65355556,0.133514402,4.654511246,0.805135345,4.88135632,-0.068999998
"No",-17.43,-22.468,0.088500987,4.635612248,0.793579551,4.5315422,-0.127100006
"No",-15.95511111,-21.09233333,0.145721442,4.269851946,0.811873768,4.881731376,0.0049
"No",-16.79555556,-21.92655556,0.126266479,4.630303594,0.803191666,4.566048168,-0.0096
